year_quarter,quarter_start,quarter_end,date,total_liab_usd_bn,bonds_usd_bn,loans_usd_bn,bonds_pct,loans_pct,debt_service_pct_exports,ext_debt_pct_gni
2016Q1,2016-01-01,2016-03-31,2016-01-01,83.6808079231845,50.75201280667377,29.617703113555635,60.6,35.4,,
2016Q2,2016-04-01,2016-06-30,2016-04-01,94.27732470841373,63.0097854894037,28.144837365490204,66.8,29.9,,
2016Q3,2016-07-01,2016-09-30,2016-07-01,100.09470543819543,68.95269521330107,28.10767585507845,68.9,28.1,,
2016Q4,2016-10-01,2016-12-31,2016-10-01,107.81144913131942,76.41764751180892,28.41230848314672,70.9,26.4,,
2017Q1,2017-01-01,2017-03-31,2017-01-01,122.38643037901076,90.81418120403058,28.563859174980166,74.2,23.3,51.7299119817311,36.0210140421607
2017Q2,2017-04-01,2017-06-30,2017-04-01,126.21927743912063,94.68068143596956,28.711406003151072,75.0,22.7,51.7299119817311,36.0210140421607
2017Q3,2017-07-01,2017-09-30,2017-07-01,136.93898808913653,101.04175575334793,32.35127303887149,73.8,23.6,51.7299119817311,36.0210140421607
2017Q4,2017-10-01,2017-12-31,2017-10-01,145.2338297185588,107.58514009451353,34.1973796240453,74.1,23.5,51.7299119817311,36.0210140421607
2018Q1,2018-01-01,2018-03-31,2018-01-01,150.40688315630123,112.45677316874018,35.117829987561024,74.8,23.3,51.5482584868275,54.8960712180333
2018Q2,2018-04-01,2018-06-30,2018-04-01,146.58315210677043,97.04433486508012,47.95566724169031,66.2,32.7,51.5482584868275,54.8960712180333
2018Q3,2018-07-01,2018-09-30,2018-07-01,140.98343846414372,91.00739100585541,48.705325121253466,64.6,34.5,51.5482584868275,54.8960712180333
2018Q4,2018-10-01,2018-12-31,2018-10-01,149.54733149626537,87.20662208832474,61.04203552892149,58.3,40.8,51.5482584868275,54.8960712180333
2019Q1,2019-01-01,2019-03-31,2019-01-01,148.50860548306872,86.31639565927892,60.9997829137798,58.1,41.1,50.832791702386,65.2499452681964
2019Q2,2019-04-01,2019-06-30,2019-04-01,151.9164376809,79.65729352848473,71.08338050963593,52.4,46.8,50.832791702386,65.2499452681964
2019Q3,2019-07-01,2019-09-30,2019-07-01,117.5081254858908,43.87525623834695,73.06734841413021,37.3,62.2,50.832791702386,65.2499452681964
2019Q4,2019-10-01,2019-12-31,2019-10-01,125.24741986743676,50.675561632753116,74.01771235555259,40.5,59.1,50.832791702386,65.2499452681964
2020Q1,2020-01-01,2020-03-31,2020-01-01,106.18092513050648,32.885680751566,73.0897143789405,31.0,68.8,43.0972641723579,68.0983401439473
2020Q2,2020-04-01,2020-06-30,2020-04-01,114.64476826259302,40.24380707290534,74.24177062580729,35.1,64.8,43.0972641723579,68.0983401439473
2020Q3,2020-07-01,2020-09-30,2020-07-01,116.16954815081039,40.803140053982446,75.2212903896827,35.1,64.8,43.0972641723579,68.0983401439473
2020Q4,2020-10-01,2020-12-31,2020-10-01,119.40815828797712,41.803267937301854,77.45977264353004,35.0,64.9,43.0972641723579,68.0983401439473
2021Q1,2021-01-01,2021-03-31,2021-01-01,115.85920790921692,39.45067472302916,76.26341547904254,34.1,65.8,30.6022646249006,51.6176877458835
2021Q2,2021-04-01,2021-06-30,2021-04-01,116.26684388016407,39.66798351941424,76.4537426536046,34.1,65.8,30.6022646249006,51.6176877458835
2021Q3,2021-07-01,2021-09-30,2021-07-01,115.94436330059828,42.16795237439452,73.58657422728304,36.4,63.5,30.6022646249006,51.6176877458835
2021Q4,2021-10-01,2021-12-31,2021-10-01,116.83169879676797,42.8282961355094,73.60621549663317,36.7,63.0,30.6022646249006,51.6176877458835
2022Q1,2022-01-01,2022-03-31,2022-01-01,120.39020446168229,41.397610010410254,78.70879260577773,34.4,65.4,31.6825901735881,40.0821942544545
2022Q2,2022-04-01,2022-06-30,2022-04-01,111.91792001206828,33.881822317880456,77.72590145049364,30.3,69.4,31.6825901735881,40.0821942544545
2022Q3,2022-07-01,2022-09-30,2022-07-01,103.48390907173436,31.080841796106878,72.06010178795276,30.0,69.6,31.6825901735881,40.0821942544545
2022Q4,2022-10-01,2022-12-31,2022-10-01,111.84252241099026,29.72398809605837,81.77928710651948,26.6,73.1,31.6825901735881,40.0821942544545
2023Q1,2023-01-01,2023-03-31,2023-01-01,110.8440425151386,27.693985414172335,82.80074197134923,25.0,74.7,51.3619830543826,39.9528949452964
2023Q2,2023-04-01,2023-06-30,2023-04-01,109.76728576175769,31.597004600080844,77.69930199017816,28.8,70.8,51.3619830543826,39.9528949452964
2023Q3,2023-07-01,2023-09-30,2023-07-01,109.97275969183286,28.102591608572666,81.35172711091515,25.6,74.0,51.3619830543826,39.9528949452964
2023Q4,2023-10-01,2023-12-31,2023-10-01,112.2807020543059,31.090969070084224,80.33125876152403,27.7,71.5,51.3619830543826,39.9528949452964
2024Q1,2024-01-01,2024-03-31,2024-01-01,115.10954682595496,33.846948165168804,80.37489581818348,29.4,69.8,38.2533536654791,39.0583452380588
2024Q2,2024-04-01,2024-06-30,2024-04-01,114.25057438099721,34.523343787868484,78.84851223898437,30.2,69.0,38.2533536654791,39.0583452380588
2024Q3,2024-07-01,2024-09-30,2024-07-01,120.33129484229032,38.53148979177025,79.98734850351603,32.0,66.5,38.2533536654791,39.0583452380588
2024Q4,2024-10-01,2024-12-31,2024-10-01,126.68245868685194,44.56110380074986,80.43175031281157,35.2,63.5,38.2533536654791,39.0583452380588
2025Q1,2025-01-01,2025-03-31,2025-01-01,129.59104928032707,47.1576023365969,80.67967756166682,36.4,62.3,,
2025Q2,2025-04-01,2025-06-30,2025-04-01,149.30431898611027,50.423124528091854,96.95275744528526,33.8,64.9,,
2025Q3,2025-07-01,2025-09-30,2025-07-01,153.51927846537552,51.774844561175144,99.87201832043657,33.7,65.1,,
2025Q4,2025-10-01,2025-12-31,2025-10-01,161.49965044513198,58.80900751067659,100.76014477520222,36.4,62.4,,
